cell,model_dir,macro_iou,macro_f1,macro_precision,macro_recall,freq_weighted_iou,overall_accuracy,n_macro_classes,evaluated_pixels,worst1_mean_iou,worst1_classes,worst2_mean_iou,worst2_classes,worst3_mean_iou,worst3_classes,binary_sealed_iou,binary_unsealed_iou,binary_macro_iou,binary_overall_accuracy,binary_sealed_precision,binary_sealed_recall
convnext_upernet_10ch,convnext_upernet,0.3446638436049828,0.43476343512911486,0.4920334545105379,0.425901245768867,0.8979290559077524,0.9374200568295032,9,12194633781,0.0024170433641821265,green_roof,0.009942203198956263,green_roof|brosten,0.04009816162316034,green_roof|brosten|betonflade,0.769134702604366,0.9664220159837353,0.8677783592940507,0.9698003338506325,0.9477471030958731,0.8031944164269004
convnext_upernet_10ch_unw,convnext_upernet,0.33066596576859575,0.4172046488264539,0.543585118387431,0.39229070267943933,0.8923422042263561,0.935849365216784,9,12194633781,0.0006681000364735198,green_roof,0.01324610679486844,green_roof|brosten,0.03762790999028046,green_roof|brosten|betonflade,0.7329940290733954,0.9612472576637136,0.8471206433685545,0.9649735585610203,0.942017289013642,0.7676270479315062
convnext_upernet_6ch,convnext_upernet,0.3374343528628417,0.4257676871295344,0.46898806096864526,0.40855403200224927,0.8839197109474081,0.9275252146253854,9,12194633781,0.0,green_roof,0.007954973428676168,green_roof|brosten,0.050745047054552544,green_roof|brosten|betonflade,0.706471244248262,0.9558735169739846,0.8311723806111233,0.9601100151315811,0.9002802542443062,0.7664476482000697
convnext_upernet_6ch_corrected,convnext_upernet,0.31104006631493875,0.3974893166948475,0.4705633268102331,0.369860234936861,0.8756058030550136,0.926695979719147,9,12194633781,0.00133495942262314,green_roof,0.004863412142539024,green_roof|betonflade,0.01041450597492182,green_roof|betonflade|brosten,0.6346363017977122,0.9479034855015324,0.7912698936496223,0.9522265780619263,0.9379244162242911,0.6624615172840665
convnext_upernet_6ch_unw,convnext_upernet,0.32076970125630416,0.40207807076850555,0.4481823510379985,0.3853426062668293,0.883735739256312,0.9273314288961508,9,12194633781,0.0030658389392953633,green_roof,0.006138121115355726,green_roof|brosten,0.032537401254459176,green_roof|brosten|betonflade,0.7036317149542922,0.9556391474765781,0.8296354312154351,0.9598660784908076,0.9036861037612913,0.7606766144194592
convnext_upernet_ortorgb,convnext_upernet,0.3574001520930216,0.45918204220081116,0.5654453391372678,0.42590801708189274,0.9037200930061018,0.9409307580747266,9,12194633781,0.018719160062558853,green_roof,0.01984330701673479,green_roof|betonflade,0.04943899919914487,green_roof|betonflade|brosten,0.7878103660663959,0.9685825640259071,0.8781964650461516,0.971864451269166,0.9344097044724915,0.8339263675255647
convnext_upernet_rgb,convnext_upernet,0.35864188131114566,0.45925813657161263,0.542882643044692,0.43221995217882625,0.8906032167160614,0.9336311235306625,9,12194633781,0.008268167687035132,green_roof,0.04460740249587758,green_roof|brosten,0.080600561939376,green_roof|brosten|betonflade,0.7205807479671426,0.9581740302860081,0.8393773891265753,0.9622462605053936,0.9081140537915434,0.7772506474510338
convnext_upernet_rgb_dsm_dtm_corrected,convnext_upernet,0.35086823540900053,0.43683929533884314,0.5180321916439968,0.41970605969597014,0.8992704313846143,0.937482046718956,9,12194633781,0.0,green_roof,0.025378974180963566,green_roof|betonflade,0.04508285113247415,green_roof|betonflade|brosten,0.7618780289261526,0.9652053130671358,0.8635416709966441,0.9686908536281857,0.9415386974062119,0.7997090235376668
convnext_upernet_rgb_ndsm,convnext_upernet,0.3625495330327985,0.4638548122329993,0.5321673307364221,0.4385241594899726,0.8913743289372447,0.9336633363881418,9,12194633781,0.006061575520343257,green_roof,0.05949814445429336,green_roof|brosten,0.08808169368348732,green_roof|brosten|betonflade,0.7275897194228325,0.9584182631770601,0.8430039912999463,0.9625747843521895,0.8918490290420701,0.7979986574037522
convnext_upernet_rgb_unw,convnext_upernet,0.33357983040412104,0.42863644520879624,0.5415345900971742,0.3927192906625184,0.8853000624319611,0.9304994793430771,9,12194633781,0.012375595977595275,green_roof,0.05192911341571916,green_roof|brosten,0.06960462995347143,green_roof|brosten|drivhus,0.6929852342975121,0.9533407707054588,0.8231630025014854,0.9577865984133075,0.88622454755687,0.7606587334388873
segformer_b1_10ch,segformer_b1,0.2923835816057869,0.3668693622250563,0.38690301773935265,0.36787810252864334,0.8852980965171435,0.9268512248076013,9,12194633781,0.0,green_roof,0.0015732061808962023,green_roof|brosten,0.004911684634394364,green_roof|brosten|betonflade,0.7319324309002078,0.959549641052481,0.8457410359763444,0.9635728641812831,0.9034909374656627,0.7940110167448555
segformer_b1_10ch_unw,segformer_b1,0.2513163313988154,0.3229006517659301,0.42224299113375885,0.33516914656845676,0.8835716775285366,0.9237697392398635,9,12194633781,0.0,green_roof,0.00019741257912954215,green_roof|drivhus,0.0029177927985451937,green_roof|drivhus|betonflade,0.7365304971161579,0.9598291666113423,0.8481798318637501,0.9638848214789206,0.8952604584677357,0.8059812465265587
segformer_b1_6ch,segformer_b1,0.268705916556842,0.346996770906184,0.38887539618358524,0.3367904506698547,0.8642547229536672,0.914946827873092,9,12194633781,0.0,green_roof,0.010299481203611297,green_roof|betonflade,0.018274016213926124,green_roof|betonflade|brosten,0.6203978369425837,0.944501272877901,0.7824495549102424,0.9491165829869541,0.9044999500475865,0.6638846898887347
segformer_b1_6ch_corrected,segformer_b1,0.2638026286201338,0.33781537170503384,0.3759648812210139,0.33547980310508735,0.8695728013717038,0.9155818398905964,9,12194633781,0.0,green_roof,0.0007366951764582536,green_roof|betonflade,0.014436353853518878,green_roof|betonflade|brosten,0.6581004555633039,0.94975930226469,0.8039298789139969,0.9541894186383522,0.9099638817296477,0.7039377590469745
segformer_b1_6ch_unw,segformer_b1,0.2563891020302333,0.32494427991164915,0.43924389300794814,0.3050215421213526,0.8680560087116739,0.9177902863666161,9,12194633781,0.0,green_roof,0.000203900609258779,green_roof|drivhus,0.004027130785227045,green_roof|drivhus|betonflade,0.6312008095571588,0.9464009130943639,0.7888008613257613,0.9509046721080865,0.9144756669370789,0.6707992089072929
segformer_b1_ortorgb,segformer_b1,0.3103476498159518,0.4000401646796996,0.45741044064083536,0.38727508235500047,0.8926362327552693,0.931940283250397,9,12194633781,0.0015104654794976607,betonflade,0.004424306306695464,betonflade|green_roof,0.04055779492767952,betonflade|green_roof|brosten,0.7632028132567548,0.9636002820541673,0.8634015476554611,0.9674222144646133,0.8950401606917543,0.8382233850229139
segformer_b1_rgb,segformer_b1,0.2975586407422794,0.38920603540389576,0.41680682751584,0.3961793647435841,0.8823199981723593,0.921323789772609,9,12194633781,0.0065068262232017065,green_roof,0.03226291832648845,green_roof|betonflade,0.047815151019598164,green_roof|betonflade|brosten,0.7334724765918852,0.9581432212315895,0.8458078489117373,0.9624666194803542,0.8690792387016382,0.8245827178855059
segformer_b1_rgb_dsm_dtm_corrected,segformer_b1,0.2925815519403373,0.37361340711263613,0.3984991713662514,0.3734177514824471,0.8894462719197317,0.9280970676326372,9,12194633781,1.2849052542988112e-06,green_roof,0.0023232100675372714,green_roof|betonflade,0.023792047571923807,green_roof|betonflade|drivhus,0.751382856654302,0.9626134964651512,0.8569981765597265,0.9664089889572388,0.9115751294474103,0.8104534484041883
segformer_b1_rgb_unw,segformer_b1,0.27510195253790126,0.3515769833778308,0.44524454818537174,0.34058924918041933,0.8718605692184275,0.915130403209605,9,12194633781,0.0,green_roof,0.0013380694233934333,green_roof|drivhus,0.003211934155568216,green_roof|drivhus|betonflade,0.6869286828794418,0.949106122149489,0.8180174025144653,0.9542185104508961,0.8272982946250945,0.8019237539093631
swin_upernet_10ch,swin_upernet,0.31342432249001617,0.39800232221170184,0.45032660658823165,0.38925348203624577,0.8877640859920257,0.9298906654882841,9,12194633781,0.0,green_roof,0.008928847094962927,green_roof|brosten,0.02839694802492439,green_roof|brosten|betonflade,0.7315912932731805,0.9593881005774948,0.8454896969253376,0.9634355738755579,0.9008997918525744,0.7956196104177005
